num,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,class
121,1.689544,0.024486145,0.084589,794.8571429,1414,55640,5
122,1.153067,0.016711116,0.083058,871.2,1414,60984,5
123,0.668515,0.009688623,0.039695,852.4571429,1414,59672,5
124,1.139075,0.016508333,0.082932,756.5142857,1414,52956,5
125,1.806858,0.026186348,0.11149,773.2714286,1414,54129,5
126,2.70722,0.039235072,0.383563,773.7285714,1414,54161,5
127,2.513051,0.036421029,0.383563,794.8,1414,55636,5
128,1.097696,0.015908638,0.139007,614.1857143,1414,42993,5
129,6.883523,0.099761203,6.173507,435,1514,30450,5
130,6.738394,0.097657884,6.173507,396.4142857,1514,27749,5
131,0.214894,0.003114406,0.040244,405.3142857,1514,28372,5
132,0.372125,0.005393116,0.082994,558.8857143,1514,39122,5
133,0.356158,0.00516171,0.082994,672.8,1514,47096,5
134,0.513888,0.007447652,0.255101,549.4285714,1514,38460,5
135,0.701899,0.010172449,0.255101,374.6428571,1414,26225,5
136,0.495381,0.007179435,0.08223,393.3857143,1414,27537,5
137,0.312463,0.004528449,0.08223,464.5,1514,32515,5
138,0.029228,0.000423594,0.005884,561.4571429,1514,39302,5
139,0.071036,0.001029507,0.017674,478.4,1514,33488,5
