,mu,sig,mu,sig,mu,sig,class
226,-0.00025361404,0.99988437,-0.00018455833,0.999849,0.00040828437,1.000038,5
227,0.00047679618,1.0000267,0.00011488423,0.9998389,4.4830143e-05,1.0002823,5
228,-0.0010538585,0.9997563,2.6628375e-05,1.0004458,0.0006564334,0.9994258,5
229,0.00015674531,1.0000432,-0.00038371235,0.99993914,-0.00020286441,1.0002617,5
230,0.00807498,1.0004406,-0.0029337928,0.9980179,-0.012555681,0.9999778,5
231,0.00066626444,1.0000207,0.0001912117,0.99986964,-0.00071644783,0.99995077,5
232,0.00221177,1.0012145,0.0011732578,1.0007687,-0.0010977462,1.0016564,5
233,0.0005280003,1.0001945,5.9492886e-05,1.0002077,-0.00091088563,1.0001659,5
234,0.0004688315,1.0001447,-0.0003764853,0.9992931,-0.00040776283,1.000028,5
235,-0.002529204,0.9997572,0.0014771372,1.0012822,0.003560774,0.99976563,5
236,0.00012266636,1.0000957,-0.000672549,1.0000044,-0.00096497685,0.9999403,5
237,-5.7257712e-05,0.99996465,-5.904585e-05,0.99994594,8.842349e-05,0.9999715,5
238,-0.0008258,1.000218,-0.0013164058,1.0003017,-3.3468008e-05,1.0001366,5
239,0.00015773252,0.99985105,-0.0015224628,0.9995146,-0.0012937114,0.9999,5
